"año","estacion","date","O3","PM10","PM2.5","NO","NO2","NOX","CO","SO2","TOUT","RH","WSR","WDR","PRS","RAINF","SR"
2024,"NTE2",2023-12-31 18:00:00,20,357,347,69,54.2,123.3,5.76,8.4,16.04,52,4.8,230,715,0,0
2024,"NTE2",2023-12-31 19:00:00,21,347,NA,66.4,54.1,120.5,5.83,8.9,16.04,52,5,225,715,0,0
2024,"NTE2",2023-12-31 20:00:00,17,705,418,61.6,48.8,110.5,4.88,7.8,15.21,54,3.3,258,715.1,0,0
2024,"NTE2",2023-12-31 21:00:00,15,520,359,51.6,46.5,98,4.72,6.8,15.2,54,5.8,229,715.2,0,0
2024,"NTE2",2023-12-31 22:00:00,13,424,186,35,45.6,80.6,3.63,6,15.54,51,6.7,219,715.3,0,0
2024,"NTE2",2023-12-31 23:00:00,14,272,153,40,42.9,82.8,3.44,5.8,15.55,49,6.7,239,715.1,0,0
2024,"NTE2",2024-01-01,12,238,104,12.2,37.9,50,2.59,5.7,16.14,42,10.3,231,715.3,0,0
2024,"NTE2",2024-01-01 01:00:00,13,115,53,32.2,35.7,67.9,2.2,4.9,14.94,46,4.2,283,715.9,0,0
2024,"NTE2",2024-01-01 02:00:00,13,116,70,59.3,35.7,95,2.9,4.7,13.97,51,4.2,228,716.5,0,0.005
2024,"NTE2",2024-01-01 03:00:00,13,130,42,52.3,35.9,88.1,2.32,4.8,15.18,46,4.8,238,717.3,0,0.048
2024,"NTE2",2024-01-01 04:00:00,14,92,26,45.2,37.5,82.6,1.94,5.3,17.95,39,4.9,286,717.9,0,0.116
2024,"NTE2",2024-01-01 05:00:00,21,71,38,16.1,28.5,44.6,1.83,5,19.03,37,5.2,15,718.5,0,0.182
2024,"NTE2",2024-01-01 06:00:00,34,81,30,8.9,15.3,24.2,1.44,5.5,21.41,31,7.3,26,718.5,0,0.24
2024,"NTE2",2024-01-01 07:00:00,41,35,19,8.4,14,22.4,1.25,5.7,22.49,33,8.4,16,717.9,0,0.283
2024,"NTE2",2024-01-01 08:00:00,39,35,24,9.5,13.2,22.6,1.26,5.4,22.49,38,9.4,27,717.2,0,0.222
2024,"NTE2",2024-01-01 09:00:00,41,31,7,9.3,13.3,22.5,1.25,5.1,23.57,39,7.8,38,716.6,0,0.268
2024,"NTE2",2024-01-01 10:00:00,38,21,NA,9.6,14.1,23.7,1.26,4.7,23.1,42,9.1,33,716.5,0,0.167
2024,"NTE2",2024-01-01 11:00:00,31,23,14,13.6,20,33.5,1.35,4.9,21.84,48,10.1,13,716.7,0,0.068
2024,"NTE2",2024-01-01 12:00:00,27,39,9,15.5,22.6,38.1,1.46,4.4,20.33,54,11,21,716.9,0,0.016
2024,"NTE2",2024-01-01 13:00:00,26,43,12,12.4,21,33.4,1.42,3.7,18.58,59,11,31,717.4,0,0
2024,"NTE2",2024-01-01 14:00:00,20,37,6,7.4,25.1,32.5,1.42,3.4,17.39,62,8.3,57,717.6,0,0
2024,"NTE2",2024-01-01 15:00:00,25,40,6,9,21.9,30.9,1.42,3.8,18.05,65,9.5,72,717.7,0,0
2024,"NTE2",2024-01-01 16:00:00,31,32,4,5.4,18.8,24.2,1.26,3.4,18.07,64,10.8,80,717.6,0,0
2024,"NTE2",2024-01-01 17:00:00,31,28,4,5.3,19,24.2,1.33,4.6,17.54,63,10,74,717.4,0,0
2024,"NTE2",2024-01-01 18:00:00,33,28,12,3.9,16.1,20,1.28,6.8,16.55,68,9,83,716.9,0,0
2024,"NTE2",2024-01-01 19:00:00,30,29,14,3.8,13.2,17,1.3,5.2,16.08,75,9.4,61,716.9,0,0
2024,"NTE2",2024-01-01 20:00:00,25,35,17,3.5,12.2,15.7,1.3,3.4,15.33,82,7.3,81,717.1,0,0
2024,"NTE2",2024-01-01 21:00:00,22,28,16,3.7,11.8,15.3,1.24,3.3,14.55,85,6.3,61,716.8,0,0
2024,"NTE2",2024-01-01 22:00:00,21,24,9,4.5,11.7,16.1,1.24,3.1,14.52,86,7.1,37,716.3,0,0
2024,"NTE2",2024-01-01 23:00:00,18,34,14,7.6,14.7,22.3,1.23,3,14.12,86,8.3,18,716,0,0
2024,"NTE2",2024-01-02,12,44,25,25.5,20.7,46.2,1.33,3,14.01,87,7.5,32,715.6,0,0
2024,"NTE2",2024-01-02 01:00:00,12,32,16,44.5,22.7,67.2,1.52,3.1,13.98,88,7.7,11,715.8,0.01,0
2024,"NTE2",2024-01-02 02:00:00,11,31,14,54.5,22.3,76.8,1.77,3.2,14.11,88,7.8,4,716.1,0,0
2024,"NTE2",2024-01-02 03:00:00,11,26,14,68.3,23,91.3,1.91,3.2,14.12,89,8.3,18,715.9,0,0.006
2024,"NTE2",2024-01-02 04:00:00,11,20,18,82.4,22.9,105.3,1.99,3.2,14.2,89,7.3,12,715.9,0,0.014
2024,"NTE2",2024-01-02 05:00:00,11,31,15,79.6,21.6,101.2,2.06,3.2,14.47,89,7.9,14,715.8,0,0.022
2024,"NTE2",2024-01-02 06:00:00,11,33,13,96.4,23.1,119.5,2.18,3.3,14.69,89,6.2,24,715.4,0.01,0.03
2024,"NTE2",2024-01-02 07:00:00,12,65,25,71.5,21.8,93.3,2.14,3.3,15.12,88,5.6,31,714.4,0,0.067
2024,"NTE2",2024-01-02 08:00:00,12,121,27,66.6,23.8,90.4,1.93,3.6,15.61,86,8.7,19,713.7,0,0.039
