"año","estacion","date","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","RH","SO2","SR","TOUT","WSR","WDR"
2024,"NTE2",2023-12-31 18:00:00,5.76,69,54.2,123.3,20,357,347,715,0,52,8.4,0,16.04,4.8,230
2024,"NTE2",2023-12-31 19:00:00,5.83,66.4,54.1,120.5,21,347,NA,715,0,52,8.9,0,16.04,5,225
2024,"NTE2",2023-12-31 20:00:00,4.88,61.6,48.8,110.5,17,705,418,715.1,0,54,7.8,0,15.21,3.3,258
2024,"NTE2",2023-12-31 21:00:00,4.72,51.6,46.5,98,15,520,359,715.2,0,54,6.8,0,15.2,5.8,229
2024,"NTE2",2023-12-31 22:00:00,3.63,35,45.6,80.6,13,424,186,715.3,0,51,6,0,15.54,6.7,219
2024,"NTE2",2023-12-31 23:00:00,3.44,40,42.9,82.8,14,272,153,715.1,0,49,5.8,0,15.55,6.7,239
2024,"NTE2",2024-01-01,2.59,12.2,37.9,50,12,238,104,715.3,0,42,5.7,0,16.14,10.3,231
2024,"NTE2",2024-01-01 01:00:00,2.2,32.2,35.7,67.9,13,115,53,715.9,0,46,4.9,0,14.94,4.2,283
2024,"NTE2",2024-01-01 02:00:00,2.9,59.3,35.7,95,13,116,70,716.5,0,51,4.7,0.005,13.97,4.2,228
2024,"NTE2",2024-01-01 03:00:00,2.32,52.3,35.9,88.1,13,130,42,717.3,0,46,4.8,0.048,15.18,4.8,238
2024,"NTE2",2024-01-01 04:00:00,1.94,45.2,37.5,82.6,14,92,26,717.9,0,39,5.3,0.116,17.95,4.9,286
2024,"NTE2",2024-01-01 05:00:00,1.83,16.1,28.5,44.6,21,71,38,718.5,0,37,5,0.182,19.03,5.2,15
2024,"NTE2",2024-01-01 06:00:00,1.44,8.9,15.3,24.2,34,81,30,718.5,0,31,5.5,0.24,21.41,7.3,26
2024,"NTE2",2024-01-01 07:00:00,1.25,8.4,14,22.4,41,35,19,717.9,0,33,5.7,0.283,22.49,8.4,16
2024,"NTE2",2024-01-01 08:00:00,1.26,9.5,13.2,22.6,39,35,24,717.2,0,38,5.4,0.222,22.49,9.4,27
2024,"NTE2",2024-01-01 09:00:00,1.25,9.3,13.3,22.5,41,31,7,716.6,0,39,5.1,0.268,23.57,7.8,38
2024,"NTE2",2024-01-01 10:00:00,1.26,9.6,14.1,23.7,38,21,NA,716.5,0,42,4.7,0.167,23.1,9.1,33
2024,"NTE2",2024-01-01 11:00:00,1.35,13.6,20,33.5,31,23,14,716.7,0,48,4.9,0.068,21.84,10.1,13
2024,"NTE2",2024-01-01 12:00:00,1.46,15.5,22.6,38.1,27,39,9,716.9,0,54,4.4,0.016,20.33,11,21
2024,"NTE2",2024-01-01 13:00:00,1.42,12.4,21,33.4,26,43,12,717.4,0,59,3.7,0,18.58,11,31
2024,"NTE2",2024-01-01 14:00:00,1.42,7.4,25.1,32.5,20,37,6,717.6,0,62,3.4,0,17.39,8.3,57
2024,"NTE2",2024-01-01 15:00:00,1.42,9,21.9,30.9,25,40,6,717.7,0,65,3.8,0,18.05,9.5,72
2024,"NTE2",2024-01-01 16:00:00,1.26,5.4,18.8,24.2,31,32,4,717.6,0,64,3.4,0,18.07,10.8,80
2024,"NTE2",2024-01-01 17:00:00,1.33,5.3,19,24.2,31,28,4,717.4,0,63,4.6,0,17.54,10,74
2024,"NTE2",2024-01-01 18:00:00,1.28,3.9,16.1,20,33,28,12,716.9,0,68,6.8,0,16.55,9,83
2024,"NTE2",2024-01-01 19:00:00,1.3,3.8,13.2,17,30,29,14,716.9,0,75,5.2,0,16.08,9.4,61
2024,"NTE2",2024-01-01 20:00:00,1.3,3.5,12.2,15.7,25,35,17,717.1,0,82,3.4,0,15.33,7.3,81
